Id	Items	Support	List size	Reference Support	Reference size	Hyp	Hyp_c	Genes
50	GO:0007050,GO:0045944,GO:0045893,GO:0000122,GO:0010628,GO:0019221	3	50	3	34208	2.93807e-09	7.689e-09	TGFB1,TP53,MYC
51	GO:0007050,GO:0045944,GO:0045893,GO:0000122,GO:0006974	3	50	4	34208	1.17402e-08	2.42696e-08	APBB1,TP53,MYC
52	GO:0007050,GO:0045944,GO:0045893,GO:0000122,GO:0043065,GO:0030308	3	50	3	34208	2.93807e-09	7.689e-09	APBB1,TGFB1,TP53
53	GO:0007050,GO:0006355	4	50	15	34208	5.44579e-09	1.33967e-08	APBB1,NOTCH1,ABL1,TP53
54	GO:0007050,GO:0006355,GO:0006974,GO:0043065	3	50	3	34208	2.93807e-09	7.689e-09	APBB1,ABL1,TP53
55	GO:0007050,GO:0006974	4	50	14	34208	3.99788e-09	1.00355e-08	APBB1,ABL1,TP53,MYC
56	GO:0007050,GO:0043065	4	50	15	34208	5.44579e-09	1.33967e-08	APBB1,TGFB1,ABL1,TP53
57	GO:0007050,GO:0043065,GO:0050731	3	50	3	34208	2.93807e-09	7.689e-09	TGFB1,ABL1,TP53
58	GO:0007050,GO:0070374	3	50	7	34208	1.02409e-07	1.53147e-07	NOTCH1,TGFB1,ABL1
59	GO:0045944	22	50	1121	34208	6.63624e-20	1.08834e-17	WNT1,GLI2,SHH,APBB1,GLI1,WNT2,DLL1,NOTCH1,TGFB1,GLI3,ETS1,SMO,JAG1,FOS,PAX3,ATOH1,EGFR,APP,TP53,PAX2,MYC,BRCA1
60	GO:0045944,GO:0006366	4	50	150	34208	6.99141e-05	7.47777e-05	FOS,PAX3,ATOH1,PAX2
61	GO:0045944,GO:0006366,GO:0045893	3	50	41	34208	3.01174e-05	3.34487e-05	FOS,PAX3,PAX2
62	GO:0045944,GO:0045893	16	50	277	34208	8.49619e-22	2.09006e-19	WNT1,GLI2,SHH,APBB1,GLI1,NOTCH1,TGFB1,GLI3,ETS1,FOS,PAX3,EGFR,TP53,PAX2,MYC,BRCA1
63	GO:0045944,GO:0045893,GO:0010469,GO:0008284	3	50	10	34208	3.50033e-07	4.62947e-07	WNT1,SHH,TGFB1
64	GO:0045944,GO:0045893,GO:0045892	6	50	108	34208	1.22141e-08	2.47297e-08	NOTCH1,TGFB1,GLI3,TP53,PAX2,BRCA1
65	GO:0045944,GO:0045893,GO:0045892,GO:0042981,GO:0010628,GO:0071158	3	50	3	34208	2.93807e-09	7.689e-09	TGFB1,TP53,BRCA1
66	GO:0045944,GO:0045893,GO:0045892,GO:0000122,GO:0008285	4	50	23	34208	3.5025e-08	6.04642e-08	NOTCH1,TGFB1,GLI3,TP53
67	GO:0045944,GO:0045893,GO:0045892,GO:0010628	4	50	28	34208	8.05521e-08	1.23849e-07	NOTCH1,TGFB1,TP53,BRCA1
68	GO:0045944,GO:0045893,GO:0045892,GO:0043066	3	50	27	34208	8.38391e-06	9.5705e-06	GLI3,TP53,PAX2
69	GO:0045944,GO:0045893,GO:0045892,GO:0050679	3	50	5	34208	2.93202e-08	5.20777e-08	NOTCH1,TGFB1,PAX2
70	GO:0045944,GO:0045893,GO:0000122	8	50	120	34208	8.58978e-12	9.60493e-11	GLI2,SHH,APBB1,NOTCH1,TGFB1,GLI3,TP53,MYC
71	GO:0045944,GO:0045893,GO:0000122,GO:0008284	4	50	25	34208	4.99282e-08	8.41255e-08	SHH,NOTCH1,TGFB1,MYC
72	GO:0045944,GO:0045893,GO:0000122,GO:0043066	5	50	25	34208	2.82204e-10	1.63346e-09	GLI2,SHH,GLI3,TP53,MYC
73	GO:0045944,GO:0045893,GO:0000122,GO:0043066,GO:0001658	3	50	6	34208	5.858e-08	9.26731e-08	SHH,GLI3,MYC
74	GO:0045944,GO:0045893,GO:0030154	3	50	48	34208	4.85152e-05	5.23453e-05	ETS1,EGFR,TP53
75	GO:0045944,GO:0045893,GO:0000165,GO:0008284,GO:0050679,GO:0048146	3	50	3	34208	2.93807e-09	7.689e-09	TGFB1,EGFR,MYC
76	GO:0045944,GO:0045893,GO:0001934,GO:0008284,GO:0048146	3	50	3	34208	2.93807e-09	7.689e-09	WNT1,TGFB1,EGFR
77	GO:0045944,GO:0045893,GO:0010628	6	50	58	34208	2.73006e-10	1.70024e-09	NOTCH1,TGFB1,ETS1,TP53,MYC,BRCA1
78	GO:0045944,GO:0045893,GO:0010628,GO:0008284	4	50	16	34208	7.25325e-09	1.74078e-08	NOTCH1,TGFB1,ETS1,MYC
79	GO:0045944,GO:0045893,GO:0010628,GO:0008284,GO:0008285	3	50	8	34208	1.63686e-07	2.30755e-07	NOTCH1,TGFB1,ETS1
80	GO:0045944,GO:0045893,GO:0010628,GO:0008285	4	50	16	34208	7.25325e-09	1.74078e-08	NOTCH1,TGFB1,ETS1,TP53
81	GO:0045944,GO:0045893,GO:0010628,GO:0016579,GO:0006974	3	50	3	34208	2.93807e-09	7.689e-09	TP53,MYC,BRCA1
82	GO:0045944,GO:0045893,GO:0008283,GO:0043066	3	50	8	34208	1.63686e-07	2.30755e-07	GLI2,EGFR,TP53
83	GO:0045944,GO:0045893,GO:0008284	8	50	46	34208	2.89221e-15	1.58108e-13	WNT1,SHH,GLI1,NOTCH1,TGFB1,ETS1,EGFR,MYC
84	GO:0045944,GO:0045893,GO:0008284,GO:0043066	4	50	20	34208	1.92258e-08	3.78365e-08	WNT1,SHH,EGFR,MYC
85	GO:0045944,GO:0045893,GO:0008284,GO:0043066,GO:0001658	3	50	5	34208	2.93202e-08	5.20777e-08	WNT1,SHH,MYC
86	GO:0045944,GO:0045893,GO:0008284,GO:0043066,GO:0048146	3	50	4	34208	1.17402e-08	2.42696e-08	WNT1,EGFR,MYC
87	GO:0045944,GO:0045893,GO:0008284,GO:0030335,GO:0070374,GO:0050679	3	50	3	34208	2.93807e-09	7.689e-09	NOTCH1,TGFB1,EGFR
88	GO:0045944,GO:0045893,GO:0008284,GO:0090090,GO:0030324	3	50	3	34208	2.93807e-09	7.689e-09	SHH,GLI1,NOTCH1
89	GO:0045944,GO:0045893,GO:0008284,GO:0030324	4	50	6	34208	6.04264e-11	4.57382e-10	SHH,GLI1,NOTCH1,EGFR
90	GO:0045944,GO:0045893,GO:0008284,GO:0060070	3	50	7	34208	1.02409e-07	1.53147e-07	WNT1,SHH,GLI1
91	GO:0045944,GO:0045893,GO:0008284,GO:0097421	3	50	3	34208	2.93807e-09	7.689e-09	GLI1,TGFB1,EGFR
92	GO:0045944,GO:0045893,GO:0008284,GO:0009611	3	50	3	34208	2.93807e-09	7.689e-09	WNT1,GLI1,TGFB1
93	GO:0045944,GO:0045893,GO:0008284,GO:0050679	4	50	9	34208	5.05945e-10	2.70571e-09	NOTCH1,TGFB1,EGFR,MYC
94	GO:0045944,GO:0045893,GO:0008284,GO:0048146	4	50	5	34208	2.01638e-11	1.68146e-10	WNT1,TGFB1,EGFR,MYC
95	GO:0045944,GO:0045893,GO:0008285	5	50	45	34208	6.34867e-09	1.554e-08	NOTCH1,TGFB1,GLI3,ETS1,TP53
96	GO:0045944,GO:0045893,GO:0021983	3	50	11	34208	4.808e-07	6.2251e-07	GLI2,GLI1,ETS1
97	GO:0045944,GO:0045893,GO:0042127	3	50	8	34208	1.63686e-07	2.30755e-07	SHH,TGFB1,BRCA1
98	GO:0045944,GO:0045893,GO:0043066	8	50	47	34208	3.48168e-15	1.71299e-13	WNT1,GLI2,SHH,GLI3,EGFR,TP53,PAX2,MYC
99	GO:0045944,GO:0045893,GO:0043066,GO:0030324	4	50	6	34208	6.04264e-11	4.57382e-10	GLI2,SHH,GLI3,EGFR
100	GO:0045944,GO:0045893,GO:0043066,GO:0033077,GO:0001658	3	50	4	34208	1.17402e-08	2.42696e-08	WNT1,SHH,GLI3
101	GO:0045944,GO:0045893,GO:0043066,GO:0001658	5	50	9	34208	6.81109e-13	1.28887e-11	WNT1,SHH,GLI3,PAX2,MYC
102	GO:0045944,GO:0045893,GO:0043066,GO:0050679	3	50	7	34208	1.02409e-07	1.53147e-07	EGFR,PAX2,MYC
103	GO:0045944,GO:0045893,GO:0090090,GO:0007224,GO:0030324,GO:0030850	3	50	3	34208	2.93807e-09	7.689e-09	SHH,GLI1,GLI3
104	GO:0045944,GO:0045893,GO:0090090,GO:0030324	4	50	5	34208	2.01638e-11	1.68146e-10	SHH,GLI1,NOTCH1,GLI3
105	GO:0045944,GO:0045893,GO:0006974	4	50	17	34208	9.47481e-09	2.21981e-08	APBB1,TP53,MYC,BRCA1
106	GO:0045944,GO:0045893,GO:0045739	3	50	5	34208	2.93202e-08	5.20777e-08	APBB1,EGFR,BRCA1
107	GO:0045944,GO:0045893,GO:0007224,GO:0030324	4	50	6	34208	6.04264e-11	4.57382e-10	GLI2,SHH,GLI1,GLI3
108	GO:0045944,GO:0045893,GO:0007224,GO:0030324,GO:0009954	3	50	3	34208	2.93807e-09	7.689e-09	GLI2,GLI1,GLI3
109	GO:0045944,GO:0045893,GO:0007224,GO:0030324,GO:0021938,GO:0007418	3	50	3	34208	2.93807e-09	7.689e-09	GLI2,SHH,GLI1
110	GO:0045944,GO:0045893,GO:0030324	6	50	17	34208	8.73392e-14	2.68568e-12	GLI2,SHH,GLI1,NOTCH1,GLI3,EGFR
111	GO:0045944,GO:0045893,GO:0030324,GO:0097421	3	50	3	34208	2.93807e-09	7.689e-09	GLI1,GLI3,EGFR
112	GO:0045944,GO:0045893,GO:0030324,GO:0045740	3	50	3	34208	2.93807e-09	7.689e-09	GLI2,GLI1,EGFR
113	GO:0045944,GO:0045893,GO:0019221	4	50	28	34208	8.05521e-08	1.23849e-07	TGFB1,FOS,TP53,MYC
114	GO:0045944,GO:0045893,GO:0019221,GO:1902895	3	50	6	34208	5.858e-08	9.26731e-08	TGFB1,FOS,TP53
115	GO:0045944,GO:0045893,GO:0097421	4	50	5	34208	2.01638e-11	1.68146e-10	GLI1,TGFB1,GLI3,EGFR
116	GO:0045944,GO:0045893,GO:0007568	3	50	14	34208	1.0574e-06	1.32041e-06	TGFB1,FOS,PAX2
117	GO:0045944,GO:0045893,GO:0007565	3	50	5	34208	2.93202e-08	5.20777e-08	TGFB1,ETS1,FOS
118	GO:0045944,GO:0045893,GO:0050679	5	50	13	34208	6.92658e-12	8.3119e-11	NOTCH1,TGFB1,EGFR,PAX2,MYC
119	GO:0045944,GO:0045893,GO:1903800	3	50	5	34208	2.93202e-08	5.20777e-08	TGFB1,EGFR,TP53
120	GO:0045944,GO:0007267,GO:0010469,GO:0008284,GO:0060070	3	50	4	34208	1.17402e-08	2.42696e-08	WNT1,SHH,WNT2
121	GO:0045944,GO:0010469	5	50	72	34208	7.05836e-08	1.09896e-07	WNT1,SHH,WNT2,TGFB1,JAG1
122	GO:0045944,GO:0010469,GO:0008284	4	50	30	34208	1.07584e-07	1.58477e-07	WNT1,SHH,WNT2,TGFB1
123	GO:0045944,GO:0010469,GO:0008284,GO:0048146	3	50	4	34208	1.17402e-08	2.42696e-08	WNT1,WNT2,TGFB1
124	GO:0045944,GO:0010469,GO:0045599,GO:0022408	3	50	3	34208	2.93807e-09	7.689e-09	WNT1,TGFB1,JAG1
125	GO:0045944,GO:0010469,GO:0042127	3	50	6	34208	5.858e-08	9.26731e-08	SHH,TGFB1,JAG1
126	GO:0045944,GO:0000122	9	50	349	34208	1.87339e-09	8.61408e-09	GLI2,SHH,APBB1,NOTCH1,TGFB1,GLI3,SMO,TP53,MYC
127	GO:0045944,GO:0000122,GO:0010628	5	50	47	34208	7.9534e-09	1.89037e-08	NOTCH1,TGFB1,SMO,TP53,MYC
128	GO:0045944,GO:0000122,GO:0010628,GO:0010629,GO:0050679	3	50	5	34208	2.93202e-08	5.20777e-08	NOTCH1,TGFB1,SMO
129	GO:0045944,GO:0000122,GO:0010628,GO:0043066	3	50	15	34208	1.32039e-06	1.62815e-06	SMO,TP53,MYC
130	GO:0045944,GO:0000122,GO:0010628,GO:0050679	4	50	10	34208	8.42335e-10	4.10326e-09	NOTCH1,TGFB1,SMO,MYC
